0,https://www.google.com.tw/maps/place/%E5%9C%93%E7%B7%A3%E7%B4%A0%E9%A5%8D/data=!4m7!3m6!1s0x345d536c32d2bf19:0x6a96ac7d52dc0779!8m2!3d25.0630024!4d121.6597368!16s%2Fg%2F11bzxzm7db!19sChIJGb_SMmxTXTQReQfcUn2slmo?authuser=0&hl=zh-TW&rclk=1,圓緣素饍,4.3,素食餐廳,223,$, 221新北市汐止區仁愛路20號,Plus Code: 3M75+6V 汐止區 新北市,1,1,0,1,星期二、11:00 到 19:30; 星期三、11:00 到 19:30; 星期四、11:00 到 19:30; 星期五、11:00 到 19:30; 星期六、11:00 到 19:30; 星期日、休息; 星期一、11:00 到 19:30. 隱藏本週營業時間,, 02 8691 6635,,2022-11-29
0,https://www.google.com.tw/maps/place/LABrary+bakery+%26+caf%C3%A9/data=!4m7!3m6!1s0x3442a9dd0473773f:0xd3354352f2f5cfd0!8m2!3d25.0395785!4d121.5197154!16s%2Fg%2F11q40d4n7c!19sChIJP3dzBN2pQjQR0M_18lJDNdM?authuser=0&hl=zh-TW&rclk=1,LABrary bakery & café,4.9,咖啡店,14,, 100台北市中正區仁愛路一段一號,Plus Code: 2GQ9+RV 中正區 台北市,1,1,0,0,星期二、10:00 到 19:00; 星期三、10:00 到 19:00; 星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、休息; 星期日、休息; 星期一、10:00 到 19:00. 隱藏本週營業時間,https://instagram.com/labrary.bakerycafe?utm_medium=copy_link, 02 2312 3456#288156,,2022-11-29
0,https://www.google.com.tw/maps/place/%E4%BB%99%E4%BA%BA%E8%B5%B0%E7%8D%B8%E9%9B%9E%E8%9B%8B%E7%B3%95/data=!4m7!3m6!1s0x3442a96c65f206c5:0xf7fdd9a772c13ff8!8m2!3d25.0366338!4d121.5189744!16s%2Fg%2F11q42yfqmr!19sChIJxQbyZWypQjQR-D_BcqfZ_fc?authuser=0&hl=zh-TW&rclk=1,仙人走獸雞蛋糕,4.0,麵包西餅店,,, 100台北市中正區中山南路21-1號,Plus Code: 2GP9+MH 中正區 台北市,0,1,0,0,星期二、休息; 星期三、休息; 星期四、休息; 星期五、12:00 到 20:00; 星期六、12:00 到 20:00; 星期日、12:00 到 20:00; 星期一、休息. 隱藏本週營業時間,,,,2022-11-29
0,https://www.google.com.tw/maps/place/Mon+Lapin+%E8%8A%AF%E8%AA%9E%E5%9D%8A%E8%9B%8B%E7%B3%95%E5%B1%8B(%E7%B6%B2%E8%B7%AF%E5%95%86%E5%AE%B6%EF%BC%89/data=!4m7!3m6!1s0x346801027fa5628d:0x5c31d4e9ae81bd24!8m2!3d25.012661!4d121.509417!16s%2Fg%2F11gvlj7_j1!19sChIJjWKlfwIBaDQRJL2BrunUMVw?authuser=0&hl=zh-TW&rclk=1,Mon Lapin 芯語坊蛋糕屋(網路商家）,4.8,甜品店,,, 234新北市永和區仁愛路202巷4號4樓,Plus Code: 2G75+3Q 永和區 新北市,0,1,0,1,星期二、11:00 到 21:00; 星期三、11:00 到 21:00; 星期四、11:00 到 21:00; 星期五、11:00 到 21:00; 星期六、11:00 到 21:00; 星期日、11:00 到 21:00; 星期一、11:00 到 21:00. 隱藏本週營業時間,https://monlapin.tw/, 0911 299 493,,2022-11-29
0,https://www.google.com.tw/maps/place/Dream+Bake+%E7%BF%BB%E7%B3%96%E8%9B%8B%E7%B3%95%E5%B7%A5%E4%BD%9C%E5%AE%A4/data=!4m7!3m6!1s0x34682374f902b64b:0x3e5c23ac4add1e6a!8m2!3d25.0466328!4d121.5110448!16s%2Fg%2F11f6yw9vj3!19sChIJS7YC-XQjaDQRah7dSqwjXD4?authuser=0&hl=zh-TW&rclk=1,Dream Bake 翻糖蛋糕工作室,4.5,西餅店,22,, 100台北市中正區延平南路1-2號號2F,Plus Code: 2GW6+MC 中正區 台北市,0,1,0,1,星期二、10:30 到 18:30; 星期三、10:30 到 18:30; 星期四、10:30 到 18:30; 星期五、10:30 到 18:30; 星期六、10:30 到 18:30; 星期日、10:30 到 18:30; 星期一、休息. 隱藏本週營業時間,https://www.facebook.com/dreambakedreambig,,,2022-11-29
0,https://www.google.com.tw/maps/place/Scooping+%E5%92%96%E5%95%A1+%E5%92%96%E5%93%A9/data=!4m7!3m6!1s0x3442a99eeb7f3957:0xfec3ecfa28e720a6!8m2!3d25.033534!4d121.5183148!16s%2Fg%2F11b6chnqj6!19sChIJVzl_656pQjQRpiDnKPrsw_4?authuser=0&hl=zh-TW&rclk=1,Scooping 咖啡 咖哩,3.6,咖啡廳,147,$$, 100台北市中正區羅斯福路一段9巷9號,Plus Code: 2GM9+C8 中正區 台北市,1,1,0,0,星期二、08:00 到 20:00; 星期三、08:00 到 20:00; 星期四、08:00 到 20:00; 星期五、08:00 到 20:00; 星期六、11:00 到 20:00; 星期日、11:00 到 20:00; 星期一、08:00 到 20:00. 隱藏本週營業時間,https://m.facebook.com/scoopingcafe/?locale2=zh_TW, 02 2358 1871,,2022-11-29
0,https://www.google.com.tw/maps/place/%E6%9F%92%E8%99%9F%E5%92%96%E5%95%A1+No7.+Coffee/data=!4m7!3m6!1s0x3442a9993100018b:0x36b8231033d52691!8m2!3d25.0315419!4d121.5179273!16s%2Fg%2F11dxmpj88c!19sChIJiwEAMZmpQjQRkSbVMxAjuDY?authuser=0&hl=zh-TW&rclk=1,柒號咖啡 No7. Coffee,4.8,咖啡廳,360,$$, 100台北市中正區南昌路一段59巷10號,Plus Code: 2GJ9+J5 中正區 台北市,1,1,0,0,星期二、12:07 到 19:07; 星期三、12:07 到 19:07; 星期四、12:07 到 19:07; 星期五、12:07 到 19:07; 星期六、12:07 到 19:07; 星期日、12:07 到 19:07; 星期一、休息. 隱藏本週營業時間,https://www.facebook.com/NO7-Coffee-1050222078398597/, 02 2393 0241,,2022-11-29
0,https://www.google.com.tw/maps/place/1516%E5%B7%A5%E4%BD%9C%E5%AE%A4/data=!4m7!3m6!1s0x3442a960d916fe7b:0x8402a69627cdbd45!8m2!3d25.0387696!4d121.5260848!16s%2Fg%2F11jgddb_l6!19sChIJe_4W2WCpQjQRRb3NJ5amAoQ?authuser=0&hl=zh-TW&rclk=1,1516工作室,5.0,茶藝館,,, 100台北市中正區仁愛路二段15巷16號,Plus Code: 2GQG+GC 中正區 台北市,1,0,0,0,星期二、13:00 到 18:00; 星期三、13:00 到 18:00; 星期四、13:00 到 18:00; 星期五、13:00 到 18:00; 星期六、13:00 到 18:00; 星期日、13:00 到 18:00; 星期一、13:00 到 18:00. 隱藏本週營業時間,https://www.facebook.com/1516tea/, 0922 286 456,,2022-11-29
0,https://www.google.com.tw/maps/place/%E9%9D%92%E5%8F%88%E7%94%B0%E7%8F%BE%E7%83%98%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442a999354696eb:0xeb258624cd9f0f0e!8m2!3d25.031826!4d121.5183734!16s%2Fg%2F11dxc20g2f!19sChIJ65ZGNZmpQjQRDg-fzSSGJes?authuser=0&hl=zh-TW&rclk=1,青又田現烘咖啡,4.5,咖啡廳,59,, 100台北市中正區南昌路一段59巷28號號,Plus Code: 2GJ9+P8 中正區 台北市,1,1,0,0,星期二、08:00 到 18:00; 星期三、08:00 到 18:00; 星期四、08:00 到 18:00; 星期五、08:00 到 18:00; 星期六、08:00 到 18:00; 星期日、休息; 星期一、08:00 到 18:00. 隱藏本週營業時間,https://teavanilla.com/50069.html, 02 2396 5007,,2022-11-29
0,https://www.google.com.tw/maps/place/%EA%B8%B8+The+Way+Cafe%E2%80%99%2F%E6%B0%B8%E5%92%8C%E5%92%96%E5%95%A1%2F%E6%B0%B8%E5%92%8C%E4%B8%8B%E5%8D%88%E8%8C%B6%2F%E6%B0%B8%E5%92%8C%E6%97%A9%E5%8D%88%E9%A4%90%2F%E6%B0%B8%E5%92%8C%E7%BE%8E%E9%A3%9F%2F%E9%99%84%E8%BF%91%E7%BE%8E%E9%A3%9F%2F%E6%B0%B8%E5%92%8C%E7%94%9C%E9%BB%9E/data=!4m7!3m6!1s0x3442a93e887ac553:0x58599060ff066d8a!8m2!3d25.0131773!4d121.5117731!16s%2Fg%2F11jff6h8r0!19sChIJU8V6iD6pQjQRim0G_2CQWVg?authuser=0&hl=zh-TW&rclk=1,길 The Way Cafe’/永和咖啡/永和下午茶/永和早午餐/永和美食/附近美食/永和甜點,4.6,咖啡廳,103,, 234新北市永和區仁愛路118號,Plus Code: 2G76+7P 永和區 新北市,1,1,0,0,星期二、10:00 到 18:30; 星期三、10:00 到 18:30; 星期四、10:00 到 18:30; 星期五、10:00 到 18:30; 星期六、10:00 到 18:30; 星期日、10:00 到 18:30; 星期一、休息. 隱藏本週營業時間,https://gilthewaycafe.weebly.com/, 02 3233 8887,,2022-11-29
